num_nodes,num_edges,infected_now,avg_degree,clustering_coeff,infected_after_10
100,485,1,9.7,0.08795571095571095,100
100,481,1,9.62,0.09599000999000999,100
100,487,1,9.74,0.09075525781408134,100
100,489,1,9.78,0.0857998112998113,100
100,482,1,9.64,0.09036105561105562,100
100,481,1,9.62,0.08223082473082473,100
100,487,1,9.74,0.09605567471743942,100
100,492,1,9.84,0.0891522089022089,100
100,490,1,9.8,0.08615279165279166,100
100,486,1,9.72,0.0931091261679497,100
100,487,1,9.74,0.08457115107115105,100
100,489,1,9.78,0.10163458763458763,100
100,491,1,9.82,0.09764679764679764,100
100,485,1,9.7,0.09448254523254523,100
100,478,1,9.56,0.08231823731823731,100
100,483,1,9.66,0.08396053946053947,100
100,486,1,9.72,0.08708189033189033,100
100,491,1,9.82,0.094496003996004,100
100,491,1,9.82,0.09101970251970253,100
100,488,1,9.76,0.08956526806526806,100
100,488,1,9.76,0.10190885585003231,100
100,491,1,9.82,0.0814577922077922,100
100,488,1,9.76,0.08995998445998446,100
100,489,1,9.78,0.08287423687423688,100
100,484,1,9.68,0.08686016761016761,100
100,485,1,9.7,0.08281202131202131,100
100,481,1,9.62,0.0949958374958375,100
100,480,1,9.6,0.09541526610644258,100
100,492,1,9.84,0.10710345700051581,100
100,485,1,9.7,0.09284532134532135,100
100,488,1,9.76,0.07583466533466533,100
100,491,1,9.82,0.09726037851037851,100
100,483,1,9.66,0.08673569077980842,100
100,489,1,9.78,0.0875059385059385,100
100,489,1,9.78,0.08450233100233101,100
100,493,1,9.86,0.09551090576090576,100
100,486,1,9.72,0.09611699411699412,100
100,494,1,9.88,0.09361118619942149,100
100,486,1,9.72,0.08990798090798091,100
100,487,1,9.74,0.08877916527916527,100
100,483,1,9.66,0.08662154512154512,100
100,484,1,9.68,0.07988689088689088,100
100,487,1,9.74,0.0887104007104007,100
100,490,1,9.8,0.09116799540328951,100
100,482,1,9.64,0.09362354312354312,100
100,483,1,9.66,0.07799009324009325,100
100,486,1,9.72,0.09774630924630925,100
100,489,1,9.78,0.08359668985984775,100
100,489,1,9.78,0.08456249306249307,100
100,484,1,9.68,0.08614701311760134,100
100,485,1,9.7,0.09161527361527362,100
100,486,1,9.72,0.09508430458430459,100
100,489,1,9.78,0.09560370185370186,100
100,490,1,9.8,0.10275000163235458,100
100,485,1,9.7,0.08620884670884671,100
100,489,1,9.78,0.09534410034410033,100
100,492,1,9.84,0.08949264624264623,100
100,489,1,9.78,0.07551881451881452,100
100,491,1,9.82,0.10268594640653465,100
100,490,1,9.8,0.09561449661449661,100
100,485,1,9.7,0.09407703407703406,100
100,483,1,9.66,0.09134310134310133,100
100,483,1,9.66,0.09197358197358196,100
100,484,1,9.68,0.08197145501557265,100
100,485,1,9.7,0.08706154956154956,100
100,491,1,9.82,0.08554568633980399,100
100,485,1,9.7,0.08229065379065378,100
100,490,1,9.8,0.08750641025641025,100
100,489,1,9.78,0.08999755146813969,100
100,478,1,9.56,0.07895311551193904,100
100,490,1,9.8,0.0820500022852964,100
100,491,1,9.82,0.09429570429570429,100
100,483,1,9.66,0.08614973914973914,100
100,482,1,9.64,0.09224020424020424,100
100,489,1,9.78,0.09006854256854256,100
100,485,1,9.7,0.08486358086358087,100
100,491,1,9.82,0.08592180042180042,100
100,485,1,9.7,0.08316097627862334,100
100,488,1,9.76,0.08690021090021088,100
100,490,1,9.8,0.10267646569117157,100
100,488,1,9.76,0.0895990675990676,100
100,486,1,9.72,0.07722982572982573,100
100,479,1,9.58,0.0793971583971584,100
100,490,1,9.8,0.08642976467976467,100
100,484,1,9.68,0.09049413168530815,100
100,490,1,9.8,0.089000555000555,100
100,489,1,9.78,0.09987154512154513,100
100,486,1,9.72,0.0874467476967477,100
100,488,1,9.76,0.0884176379176379,100
100,489,1,9.78,0.09484307359307359,100
100,487,1,9.74,0.09548618048618047,100
100,487,1,9.74,0.09728310578310578,100
100,489,1,9.78,0.08582128655658067,100
100,488,1,9.76,0.07271750471750471,100
100,489,1,9.78,0.08095254745254746,100
100,493,1,9.86,0.08938000888000888,100
100,489,1,9.78,0.10123992184286301,100
100,489,1,9.78,0.09582572982572982,100
100,488,1,9.76,0.08422760572760574,100
100,485,1,9.7,0.0802002997002997,100
100,487,1,9.74,0.0850994005994006,100
100,493,1,9.86,0.09474875614581497,100
100,492,1,9.84,0.08901215451215451,100
100,487,1,9.74,0.08944250194250195,100
100,486,1,9.72,0.09383921633921634,100
100,484,1,9.68,0.09619232728056257,100
100,487,1,9.74,0.08969163026515968,100
100,474,1,9.48,0.07572660672660673,100
100,489,1,9.78,0.08023465423465423,100
100,492,1,9.84,0.08501192435015964,100
100,494,1,9.88,0.09644222444222444,100
100,484,1,9.68,0.08754728604728605,100
100,492,1,9.84,0.09562279387279388,100
100,490,1,9.8,0.09748146298146297,100
100,484,1,9.68,0.09209657009657009,100
100,481,1,9.62,0.08274636474636475,100
100,486,1,9.72,0.09426723276723276,100
100,487,1,9.74,0.09594465991524816,100
100,490,1,9.8,0.09015978465978465,100
100,487,1,9.74,0.08885325785325784,100
100,480,1,9.6,0.0898014208014208,100
100,485,1,9.7,0.08476562326562327,100
100,490,1,9.8,0.08413924963924964,100
100,487,1,9.74,0.08248656898656899,100
100,487,1,9.74,0.0826088356088356,100
100,492,1,9.84,0.09285442335442334,100
100,489,1,9.78,0.09362781662781662,100
100,488,1,9.76,0.0974098124098124,100
100,488,1,9.76,0.09928774003774005,100
100,490,1,9.8,0.07557758907758907,100
100,487,1,9.74,0.08715767565767565,100
100,483,1,9.66,0.10327422577422578,100
100,491,1,9.82,0.09202103452103452,100
100,491,1,9.82,0.08572327672327672,100
100,489,1,9.78,0.08887229437229437,100
100,489,1,9.78,0.09576484626484627,100
100,486,1,9.72,0.0955988455988456,100
100,492,1,9.84,0.10183427683427683,100
100,485,1,9.7,0.10818714781950076,100
100,490,1,9.8,0.09754742479742479,100
100,486,1,9.72,0.09338733488733489,100
100,493,1,9.86,0.08951936951936952,100
100,490,1,9.8,0.09968678706914001,100
100,490,1,9.8,0.10335847485847487,100
100,491,1,9.82,0.10033985295750002,100
100,484,1,9.68,0.10314840714840715,100
100,488,1,9.76,0.08054778228307641,100
100,491,1,9.82,0.0940455932955933,100
100,482,1,9.64,0.09224786324786324,100
100,487,1,9.74,0.09292787767787768,100
100,486,1,9.72,0.09482770007770007,100
100,487,1,9.74,0.09224484339190221,100
100,486,1,9.72,0.07765162615162616,100
100,487,1,9.74,0.08699034299034299,100
100,493,1,9.86,0.08790922965922966,100
100,478,1,9.56,0.07750632700632701,100
100,475,1,9.5,0.08878746253746254,100
100,487,1,9.74,0.09452980352980353,100
100,484,1,9.68,0.09168792318792318,100
100,487,1,9.74,0.09875829725829725,100
100,486,1,9.72,0.08543173493173492,100
100,487,1,9.74,0.10228327228327228,100
100,484,1,9.68,0.08406310356310356,100
100,484,1,9.68,0.10194080592610004,100
100,493,1,9.86,0.09166100566100566,100
100,497,1,9.94,0.10934213009213009,100
100,489,1,9.78,0.09034115884115884,100
100,490,1,9.8,0.08370013156777861,100
100,480,1,9.6,0.09533710733710735,100
100,484,1,9.68,0.08307153957153958,100
100,483,1,9.66,0.09464879564879565,100
100,486,1,9.72,0.08689359659947896,100
100,482,1,9.64,0.0877065712065712,100
100,492,1,9.84,0.08637035187035186,100
100,489,1,9.78,0.09413308913308914,100
100,486,1,9.72,0.09142122583299055,100
100,490,1,9.8,0.08082875457875457,100
100,494,1,9.88,0.09314930004635887,100
100,488,1,9.76,0.09840059940059939,100
100,482,1,9.64,0.0897347374847375,100
100,488,1,9.76,0.09210694860694861,100
